dataset,optimizer,mean,std
FiftyWords,ssg-1,18.29,0.57
FiftyWords,ssg-e,17.71,0.53
FiftyWords,ssg-50,17.56,0.48
FiftyWords,mm-1,34.67,5.328
FiftyWords,mm-50,18.68,1.93
Adiac,ssg-1,0.55,0.01
Adiac,ssg-e,0.53,0
Adiac,ssg-50,0.52,0
Adiac,mm-1,0.8,0.05
Adiac,mm-50,0.54,0.01
Beef,ssg-1,27.48,4.51
Beef,mm-1,19.95,2.41
Beef,ssg-50,15.9,1.16
Beef,ssg-50,38.96,6.68
Beef,mm-50,16.86,2.24
CBF,ssg-1,18.35,0.34
CBF,ssg-e,18.06,0.3
CBF,ssg-50,18.01,0.31
CBF,mm-1,23.68,1.67
CBF,mm-50,18.4,0.35
ChlorineConcentration,ssg-1,14.79,0.35
ChlorineConcentration,ssg-e,14.71,0.36
ChlorineConcentration,ssg-50,14.71,0.35
ChlorineConcentration,mm-1,17.64,1.13
ChlorineConcentration,mm-50,15.13,0.52
