dataset,optimizer,iteration,variation,runtime
Adiac,ssg-2000-5,1_974859996129591099,0.6658204513191257,1597.517575263977
Adiac,ssg-2000-5,6_1390216456440577852,0.5971098108985191,1598.6796276569366
Adiac,ssg-2000-5,4_2195879203646930748,0.6410805683689719,1599.0289719104767
Adiac,ssg-2000-5,3_848826826528325439,0.6342730851596446,1601.4421038627625
Adiac,ssg-2000-5,5_1942733693781737280,0.646668606747837,1602.9152929782867
Adiac,ssg-2000-5,14_991801821046177602,0.655013313720992,1604.4945812225342
Adiac,ssg-2000-5,11_1337631213330562885,0.6394151521336645,1607.668038368225
Adiac,ssg-2000-5,16_1380754609127751494,0.6433255419584433,1608.6672575473785
Adiac,adam-2000-5,0_1383716693452980039,0.699344453222195,1609.6520693302155
Adiac,ssg-2000-5,18_294515186210635592,0.6937132006193589,1610.1991069316864
Adiac,adam-2000-5,1_1434627930109706059,0.6027685201681543,1613.6762397289276
Adiac,adam-2000-5,22_1320012639007080268,0.6364794974616158,1614.6129472255707
Adiac,ssg-2000-5,0_837075796006469454,0.6149128106111762,1616.4663672447205
Adiac,adam-2000-5,16_1773917976987893582,0.633519586595839,1616.820813179016
Adiac,ssg-2000-5,28_1774308853371567951,0.6392992262531075,1617.822872877121
Adiac,ssg-2000-5,2_396523476989181776,0.6459672371005524,1618.266313791275
Adiac,adam-2000-5,14_736774497030045520,0.6864838298002861,1618.3630909919739
Adiac,ssg-2000-5,8_1294611171626385233,0.6320326227040667,1619.640219926834
Adiac,ssg-2000-5,27_977980410129219411,0.6488664744213531,1621.47958111763
Adiac,adam-2000-5,2_1045399164609560403,0.6564328887076065,1621.504858493805
Adiac,adam-2000-5,13_1571519876546887507,0.6784136649948035,1621.7261826992035
Adiac,ssg-2000-5,21_1977835052742672211,0.6439505593484555,1621.9201188087463
Adiac,adam-2000-5,24_2267978579126714195,0.6368497050568585,1622.0178518295288
Adiac,adam-2000-5,8_202978644175028052,0.6975109247492852,1622.1318080425262
Adiac,adam-2000-5,25_1123950474321133397,0.6857903702566422,1623.5234322547913
Adiac,ssg-2000-5,13_1768319813535072086,0.6330818057562652,1624.8411617279053
Adiac,ssg-2000-5,7_299045174117072728,0.6147057003315041,1626.2023601531982
Adiac,ssg-2000-5,20_1579632073336618841,0.6579807391126816,1627.7587509155273
Adiac,adam-2000-5,5_1834392216027201370,0.6451228197515114,1628.8521807193756
Adiac,ssg-2000-5,10_2202696175739141978,0.6435887024152028,1629.0547895431519
Adiac,ssg-2000-5,9_197199611059437403,0.6543971339143705,1629.1601016521454
Adiac,adam-2000-5,9_1023208271181971291,0.6778355481954237,1629.4907031059265
Adiac,ssg-2000-5,24_1917046353377820508,0.6378115805895386,1630.8886704444885
Adiac,ssg-2000-5,12_497357489349263197,0.6637055968709327,1631.2876851558685
Adiac,adam-2000-5,21_910662810718633821,0.7135616701785729,1631.434181213379
Adiac,ssg-2000-5,15_1552608276549140318,0.5992780114979058,1632.7406706809998
Adiac,ssg-2000-5,17_133215730904268639,0.6418850405786273,1633.1286835670471
