dataset,optimizer,iteration,variation,runtime
FiftyWords,ssg-1000-1,20_804483522579198132,18.232746345806543,1502.143076658249
FiftyWords,ssg-1000-1,8_1801549253948797108,18.232746345806543,1502.5628116130829
FiftyWords,ssg-1000-1,0_1767860767429554380,18.232746345806543,1526.5937979221344
FiftyWords,ssg-1000-1,13_2267724591939776716,18.232746345806543,1526.797158241272
FiftyWords,adam-1000-1,7_1406635463577235664,46.87725463627526,1530.2925157546997
FiftyWords,ssg-1000-1,14_383102838059626733,18.232746345806543,1558.9798078536987
FiftyWords,ssg-1000-10,5_234434572333150457,34.625584607209284,1570.581288099289
FiftyWords,adam-1000-1,14_150563825366397181,46.87725463627526,1574.8201458454132
FiftyWords,ssg-1000-10,16_687916598337270052,34.625584607209284,1613.60888504982
FiftyWords,ssg-1000-10,25_1207127429449838890,34.625584607209284,1619.715473651886
FiftyWords,ssg-1000-10,19_555246776550748499,34.625584607209284,1660.5669441223145
FiftyWords,ssg-1000-10,3_1710576761378238878,34.625584607209284,1736.3949308395386
FiftyWords,ssg-1000-10,29_2130456612525897109,35.266374417736664,1248.6199126243591
FiftyWords,ssg-1000-10,28_887675870871614876,35.266374417736664,1255.7482542991638
FiftyWords,adam-1000-10,0_2204236041772922268,73.12034113054138,1232.0114493370056
FiftyWords,adam-1000-10,2_490462451930559914,73.12034113054138,1241.3766071796417
FiftyWords,adam-1000-10,4_1048806551143118286,73.12034113054138,1237.0029814243317
FiftyWords,adam-1000-10,1_1320324900308448726,73.12034113054138,1289.3649623394012
FiftyWords,adam-1000-10,3_2053891570569901535,73.12034113054138,1266.1196115016937
FiftyWords,adam-1000-10,6_5746599116207593,73.12034113054138,1220.3676755428314
FiftyWords,adam-1000-10,5_269592006387103212,73.12034113054138,1262.8661856651306
FiftyWords,adam-1000-10,7_296271656035087875,73.12034113054138,1240.3434064388275
FiftyWords,adam-1000-10,8_839966412074972680,73.12034113054138,1204.88987159729
FiftyWords,adam-1000-10,9_621490702856812084,73.12034113054138,1173.2869880199432
FiftyWords,ssg-1000-1,24_656357316085216959,18.232746345806543,3049.10067820549
FiftyWords,ssg-1000-10,1_885842984988112640,34.625584607209284,3113.8171939849854
FiftyWords,ssg-1000-1,6_646990576528193338,18.232746345806543,3172.1220757961273
FiftyWords,adam-1000-1,3_1603125338286389110,46.87725463627526,3232.4384655952454
FiftyWords,ssg-1000-1,12_261303887736928180,18.232746345806543,3293.891956090927
FiftyWords,ssg-1000-1,15_1219787756087867320,18.232746345806543,3298.35835647583
FiftyWords,ssg-1000-1,7_2012300893981833156,18.232746345806543,3310.704872608185
FiftyWords,ssg-1000-1,1_2169104995998037977,18.232746345806543,3331.7961297035217
FiftyWords,ssg-1000-1,25_692138722987931646,18.232746345806543,3368.113341331482
FiftyWords,ssg-1000-1,19_1165659898164082691,18.232746345806543,3373.3305916786194
FiftyWords,ssg-1000-1,23_2147236809233201184,18.232746345806543,3402.7340359687805
FiftyWords,ssg-1000-1,22_1966914153498867750,18.232746345806543,3408.661493062973
FiftyWords,ssg-1000-1,4_1575490213033867309,18.232746345806543,3415.5079231262207
FiftyWords,adam-1000-1,4_1335224932132255806,46.87725463627526,3432.329071521759
FiftyWords,ssg-1000-1,9_990718252336085061,18.232746345806543,3439.261803150177
FiftyWords,ssg-1000-1,18_903276291602315340,18.232746345806543,3446.1611018180847
FiftyWords,adam-1000-1,6_2099235430099384396,46.87725463627526,3446.659017801285
FiftyWords,ssg-1000-10,4_2271274914985867364,34.625584607209284,3470.5522236824036
FiftyWords,ssg-1000-1,2_359240686957820014,18.232746345806543,3479.9523074626923
FiftyWords,ssg-1000-1,11_1536414119538522235,18.232746345806543,3493.4595172405243
FiftyWords,ssg-1000-10,22_2034382935758272648,34.625584607209284,3506.119880914688
FiftyWords,ssg-1000-1,3_836096131145201801,18.232746345806543,3507.1774609088898
FiftyWords,ssg-1000-1,16_858565201014618253,18.232746345806543,3511.198093652725
FiftyWords,ssg-1000-1,29_1419414537471064212,18.232746345806543,3518.3861854076385
FiftyWords,adam-1000-1,13_25913291637061824,46.87725463627526,3561.7660768032074
FiftyWords,adam-1000-1,10_1267344382768249028,46.87725463627526,3566.3193769454956
FiftyWords,adam-1000-1,12_371555766944725197,46.87725463627526,3574.9161694049835
FiftyWords,ssg-1000-10,6_211629051905636561,34.625584607209284,3578.679874420166
FiftyWords,ssg-1000-10,24_70423721352689878,34.625584607209284,3583.3311021327972
FiftyWords,adam-1000-1,5_1664403320325601494,46.87725463627526,3584.2814271450043
FiftyWords,adam-1000-1,0_2241600195663821029,46.87725463627526,3599.75550198555
FiftyWords,adam-1000-1,22_1409761924890818792,46.87725463627526,3602.37136554718
FiftyWords,adam-1000-1,18_2170023088207231211,46.87725463627526,3605.704949617386
FiftyWords,ssg-1000-1,27_2262639900417128684,18.232746345806543,3606.792862176895
FiftyWords,adam-1000-1,29_1421006630308083951,46.87725463627526,3609.1779317855835
FiftyWords,adam-1000-1,24_1568860707674192116,46.87725463627526,3614.4106743335724
FiftyWords,ssg-1000-1,5_1369115179035195642,18.232746345806543,3620.389509677887
FiftyWords,ssg-1000-1,17_2200174995575732479,18.232746345806543,3625.7657809257507
FiftyWords,adam-1000-1,1_553241817097500930,46.87725463627526,3628.023196697235
FiftyWords,ssg-1000-1,10_221187656241707267,18.232746345806543,3628.906943798065
FiftyWords,adam-1000-1,15_1083618738545948933,46.87725463627526,3631.222300052643
FiftyWords,ssg-1000-10,7_1496868534578116870,34.625584607209284,3632.4564447402954
FiftyWords,adam-1000-1,20_276526076467673351,46.87725463627526,3632.8995368480682
FiftyWords,ssg-1000-10,23_995588539091319051,34.625584607209284,3636.44833445549
FiftyWords,ssg-1000-1,21_1094971745858550039,18.232746345806543,3649.2964222431183
FiftyWords,adam-1000-1,2_1529290933457975580,46.87725463627526,3654.428186416626
FiftyWords,adam-1000-1,23_226464212543404317,46.87725463627526,3654.858921289444
FiftyWords,adam-1000-1,11_48755095948294430,46.87725463627526,3655.821278333664
FiftyWords,adam-1000-1,17_1906657068006045992,46.87725463627526,3666.5482144355774
