dataset,optimizer,iteration,variation,runtime
FiftyWords,ssg-1000-1,0_1417925798727812544,19.055925946353288,2103.1718254089355
FiftyWords,ssg-1000-1,1_770423401130526147,17.941564343357783,2105.887330532074
FiftyWords,ssg-1000-1,12_1472432438407366084,18.511996746733306,2107.0894079208374
FiftyWords,ssg-1000-1,4_1849149311339234758,19.595319134843685,2109.2814223766327
FiftyWords,ssg-1000-1,11_2217733646516258246,18.07636056502278,2109.4532074928284
FiftyWords,ssg-1000-1,9_2093834079228691911,17.96203703429586,2110.3633255958557
FiftyWords,adam-1000-1,18_648295696831120840,46.08191035086165,2110.702025413513
FiftyWords,ssg-1000-1,5_1009510555322975689,18.361586879056542,2111.916754961014
FiftyWords,adam-1000-1,13_614912874544399818,41.18742684042051,2112.7020728588104
FiftyWords,adam-1000-1,0_518562670602388939,35.84362158139113,2113.6419591903687
FiftyWords,ssg-1000-1,15_545884984796808651,18.205558687373156,2113.711898803711
FiftyWords,ssg-1000-1,28_1819068322470725068,18.275223196361086,2115.2582080364227
FiftyWords,adam-1000-1,27_1172545039977973197,25.93530021564176,2115.943103790283
FiftyWords,adam-1000-1,6_1373586892826117581,44.00176950766732,2116.040349960327
FiftyWords,adam-1000-1,16_650147274412295630,28.70630616391309,2116.725540161133
FiftyWords,adam-1000-1,15_1843384022118991311,31.296139501669376,2118.2397508621216
FiftyWords,adam-1000-1,7_1778690407208093136,38.359029016672146,2119.21524477005
FiftyWords,adam-1000-1,5_1760033344152176080,38.113973873396034,2119.226717710495
FiftyWords,adam-1000-1,19_177319341317457361,37.49598340890003,2119.4961631298065
FiftyWords,ssg-1000-1,17_621603402799416785,18.666895446080854,2119.71346282959
FiftyWords,ssg-1000-1,26_920776118670755281,18.56570118988824,2119.8418612480164
FiftyWords,adam-1000-1,10_964704906735289809,31.664937876390837,2119.8479554653168
FiftyWords,ssg-1000-1,16_1152700504364058066,17.906527928267323,2120.9533042907715
FiftyWords,adam-1000-1,26_2202452084157613522,34.243212838756556,2121.399407148361
FiftyWords,adam-1000-1,23_752123679353636307,24.327471093578612,2121.7418377399445
FiftyWords,ssg-1000-1,6_964671921386456531,19.096229152894786,2121.8890738487244
FiftyWords,ssg-1000-1,10_21173297010476500,18.60298089435478,2122.497912168503
FiftyWords,adam-1000-1,1_2158128571418707412,36.66137331624485,2123.360059738159
FiftyWords,ssg-1000-1,3_1381027837767091669,18.01151026718493,2124.1495122909546
FiftyWords,adam-1000-1,29_448547419413054935,26.038323604712932,2125.6114547252655
FiftyWords,ssg-1000-1,13_1576810726499583449,17.967092050704018,2128.1460444927216
FiftyWords,adam-1000-1,4_2012988638505764313,24.509819746558573,2128.3064529895782
FiftyWords,ssg-1000-1,2_2044496243711313369,18.884583264780527,2128.420219898224
FiftyWords,adam-1000-1,22_956422835399067098,38.202991143211584,2128.8544931411743
FiftyWords,ssg-1000-10,6_1160326167258498522,26.824748808681015,2128.9078414440155
FiftyWords,ssg-1000-1,25_1578386326662186459,18.608684075324085,2130.1241278648376
FiftyWords,ssg-1000-10,7_66898687074797020,23.36116516951234,2130.4591307640076
FiftyWords,ssg-1000-1,21_283184718886241756,17.74205818372935,2130.5712056159973
FiftyWords,ssg-1000-1,27_554266561935345116,18.20585662164253,2130.677280664444
FiftyWords,ssg-1000-1,14_2269980240044918236,19.068840269758947,2131.4758808612823
FiftyWords,ssg-1000-10,2_360323156156122589,30.817149559275478,2131.56925034523
FiftyWords,adam-1000-1,12_428024485124802013,27.041522154945998,2131.6375699043274
FiftyWords,ssg-1000-1,8_733378655367497181,18.694383225809734,2131.7956767082214
FiftyWords,ssg-1000-1,7_559714092295161310,17.65952519488786,2132.710753917694
FiftyWords,adam-1000-1,11_1517345289378760158,38.48767635399244,2133.0901098251343
FiftyWords,ssg-1000-1,24_1887376032102122976,18.855152752338068,2135.2590527534485
FiftyWords,ssg-1000-1,20_1014937744717678049,18.286876446424362,2135.914518594742
FiftyWords,ssg-1000-1,23_1259729165235029474,18.614392066936528,2136.9888095855713
FiftyWords,ssg-1000-1,18_1308557377112933858,19.392096746221977,2137.0412538051605
FiftyWords,adam-1000-1,8_811971196765111779,33.48838271113857,2137.788917541504
FiftyWords,adam-1000-1,14_1490793732835411428,39.02954914715154,2139.079352617264
FiftyWords,adam-1000-1,2_292963225547867621,29.627977652617783,2139.5669980049133
FiftyWords,adam-1000-1,3_329524186194675173,31.878705978559893,2139.577706336975
FiftyWords,ssg-1000-1,22_1863976225639794149,18.58395281828046,2140.269058704376
FiftyWords,adam-1000-1,25_1006641929486108134,26.478547652336438,2140.8579914569855
FiftyWords,adam-1000-1,21_311373997999162855,39.98729947687574,2141.556871652603
FiftyWords,adam-1000-1,9_456740980063241703,43.490071590941625,2141.634818792343
FiftyWords,adam-1000-1,17_116973195382785513,31.219133210699816,2143.480625629425
FiftyWords,ssg-1000-1,19_1636890240864519657,18.995566048165593,2144.1809253692627
FiftyWords,ssg-1000-10,8_884901803035493867,25.0703266640989,2145.7902586460114
FiftyWords,ssg-1000-10,9_902790857219409387,29.51519736764094,2145.80282831192
FiftyWords,ssg-1000-10,4_1296147739126040043,33.262323793283926,2145.9695839881897
FiftyWords,ssg-1000-10,10_2260863639383213547,24.536029367056848,2146.3908157348633
FiftyWords,adam-1000-1,24_1978122025277359597,33.4943240621292,2148.2807607650757
FiftyWords,ssg-1000-1,29_256144429424346606,18.03804089057768,2148.5453565120697
FiftyWords,ssg-1000-10,15_1132547555738551790,24.004815325931933,2148.8873188495636
FiftyWords,ssg-1000-10,14_197214454466250224,21.144422949810195,2150.5066390037537
FiftyWords,adam-1000-1,28_210312386732131825,33.19554896291908,2151.5141060352325
FiftyWords,ssg-1000-10,18_804061859870705138,37.703584217565215,2152.7446155548096
FiftyWords,ssg-1000-10,1_1275960155884258802,22.309716962049727,2152.9799342155457
FiftyWords,adam-1000-1,20_1695495859892422130,37.277302854090514,2153.1551620960236
FiftyWords,ssg-1000-10,3_2108022727029327349,33.38907424530397,2156.331176996231
FiftyWords,ssg-1000-10,5_571916472340219388,36.79623390206366,2162.648491382599
FiftyWords,ssg-1000-10,0_2181380493567100412,24.68730347023125,2163.3669769763947
FiftyWords,ssg-1000-10,19_217731341440550399,23.99110190114051,2165.485155582428
FiftyWords,ssg-1000-10,21_512540095661245955,35.30866465163501,2169.5945625305176
FiftyWords,ssg-1000-10,26_148026702286063113,34.5986037468713,2175.4458990097046
FiftyWords,ssg-1000-10,25_1133319962657064460,29.646085747628245,2178.882127761841
FiftyWords,ssg-1000-10,13_1729671430062769678,24.19195531990471,2181.1545424461365
FiftyWords,ssg-1000-10,12_1671525406895277585,36.31419694824813,2184.1429336071014
FiftyWords,ssg-1000-10,11_845192390842549778,33.22831874129758,2184.7699415683746
FiftyWords,ssg-1000-10,20_509799562929014305,29.527761387043455,2199.6060407161713
FiftyWords,ssg-1000-10,17_1092810105999099427,31.66322125126013,2201.876622915268
FiftyWords,ssg-1000-10,16_831562294948824613,26.45286419321484,2203.747434616089
FiftyWords,ssg-1000-10,23_674924768944227883,23.45180792536775,2209.6738743782043
FiftyWords,ssg-1000-10,24_172585943759881781,23.482418284106,2219.445215702057
FiftyWords,ssg-1000-10,22_1469223513721701943,22.51236457485039,2222.0155775547028
FiftyWords,ssg-1000-10,27_742648088145462840,32.29120894800633,2222.7049939632416
FiftyWords,ssg-1000-10,29_600258033813589590,33.63890188734826,2194.7502114772797
FiftyWords,ssg-1000-10,28_1933063489015287387,37.25708375615667,2203.0389609336853
FiftyWords,adam-1000-10,1_975957308733951596,58.80786730880769,2213.4725801944733
FiftyWords,adam-1000-10,26_81616199968394863,43.10946101781208,2201.1666462421417
FiftyWords,adam-1000-10,2_316960066824081009,57.65082407184103,2217.9567136764526
FiftyWords,adam-1000-10,3_832002649355751028,50.55688010006596,2220.2471673488617
FiftyWords,adam-1000-10,5_982410342477368952,55.9053414895183,2222.8398678302765
FiftyWords,adam-1000-10,23_1880313319161106047,58.837849582132506,2220.218613386154
FiftyWords,adam-1000-10,8_1534426752272076420,66.65764292723951,2233.259071111679
FiftyWords,adam-1000-10,17_821644700066287238,66.43075335444043,2228.866479873657
FiftyWords,adam-1000-10,0_2152558995268210310,53.87982967172153,2241.9883840084076
FiftyWords,adam-1000-10,24_1157149678165855879,59.71768377276622,2227.1837832927704
FiftyWords,adam-1000-10,28_1446760491166240392,45.081772292427246,2222.7754168510437
FiftyWords,adam-1000-10,20_1079949118489005708,53.28663159983382,2233.785309314728
FiftyWords,adam-1000-10,9_466042848434228879,57.80691934002472,2242.2421860694885
FiftyWords,adam-1000-10,14_1131249032506150543,67.62379285015817,2238.5607573986053
FiftyWords,adam-1000-10,11_819606755264204433,47.741000245361505,2243.582709312439
FiftyWords,adam-1000-10,7_1701582756263792274,49.82051322276679,2247.3358449935913
FiftyWords,adam-1000-10,4_348792027959824019,36.51670854212246,2250.7197432518005
FiftyWords,adam-1000-10,10_1477369795371896470,69.91215816282711,2248.9675183296204
FiftyWords,adam-1000-10,15_686210706047536791,44.612758356050634,2246.3483884334564
FiftyWords,adam-1000-10,18_1091164686848134807,59.77930424674515,2245.9227180480957
FiftyWords,adam-1000-10,12_562640442492489368,52.31996057539406,2249.7197654247284
FiftyWords,adam-1000-10,16_1110112570729598618,51.972569044362935,2249.231850862503
FiftyWords,adam-1000-10,6_830553493030342302,52.74440337358201,2259.9449763298035
FiftyWords,adam-1000-10,13_1455749548479123103,87.78470168083687,2255.6657178401947
FiftyWords,adam-1000-10,19_2222922791643549346,40.75994036888982,2257.37984085083
FiftyWords,adam-1000-10,22_2200498251995057828,50.98727166223929,2257.478517770767
FiftyWords,adam-1000-10,27_690058996744752809,40.49509875326048,2257.881723165512
FiftyWords,adam-1000-10,25_95322162164436656,36.17972096631933,2266.938668012619
FiftyWords,adam-1000-10,29_1193255440998764210,89.24136490468423,2264.5209374427795
FiftyWords,adam-1000-10,21_27233255346966197,40.24589856006789,2273.9083712100983
Adiac,ssg-1000-1,1_359717325249220853,0.5503704280839097,640.6966874599457
Adiac,ssg-1000-1,3_1927242674457841914,0.5544570776103624,634.8873467445374
Adiac,ssg-1000-1,0_563174255387775250,0.561403776196443,673.0034503936768
Adiac,ssg-1000-1,2_1180648440674685207,0.5483502277894811,670.8483407497406
Adiac,ssg-1000-1,7_1911799483889914140,0.5553838232801509,661.1532454490662
Adiac,ssg-1000-1,8_291117695280648514,0.5510840951951116,697.3579320907593
Adiac,ssg-1000-1,6_847725059412293,0.554195999729686,701.9349517822266
Adiac,ssg-1000-1,4_1404962556636336454,0.6357531144720432,705.7827978134155
Adiac,ssg-1000-1,5_1180792476697923918,0.5374791932973672,712.0219659805298
Adiac,ssg-1000-1,9_2074223189835682134,0.5525188378977991,714.322101354599
Adiac,ssg-1000-1,10_519412593090662774,0.5871549514193753,742.9300763607025
Adiac,ssg-1000-1,13_1380998700708958590,0.5623696418701769,747.7148106098175
Adiac,ssg-1000-1,17_618343350823063936,0.5449887586659057,744.6806080341339
Adiac,ssg-1000-1,12_1810096307588075914,0.5439595923909311,761.2434771060944
Adiac,ssg-1000-1,16_312679668057149839,0.6074984748937285,759.7273755073547
Adiac,ssg-1000-1,11_354173587621974415,0.5415506749070086,767.5821077823639
Adiac,ssg-1000-1,14_862465718514913709,0.539673921813716,794.0690279006958
Adiac,ssg-1000-1,18_1572708448616354222,0.562077129552057,790.3415696620941
Adiac,ssg-1000-1,21_2105114518773862834,0.5840150463415018,787.1736814975739
Adiac,ssg-1000-1,20_2191014964205490612,0.5407117425706588,790.3993918895721
Adiac,ssg-1000-1,22_2201376761785651637,0.5465265453002335,786.8695080280304
Adiac,ssg-1000-1,25_840195110494310843,0.5427750805602779,779.0425972938538
Adiac,ssg-1000-1,26_1572634231581479360,0.535449797741249,782.0000886917114
Adiac,ssg-1000-1,19_448348407808430529,0.5685314492572991,806.5837893486023
