dataset,optimizer,iteration,variation,runtime
ChlorineConcentration,ssg-1000-10,22_1473997593208804563,16.882090818015698,991.3429381847382
ChlorineConcentration,ssg-1000-1,18_282113794560087266,14.758550233256436,1006.5684034824371
ChlorineConcentration,ssg-1000-10,26_797184414638265570,16.882090818015698,1006.0537798404694
ChlorineConcentration,ssg-1000-10,14_1688803132613448936,16.882090818015698,1012.5096728801727
ChlorineConcentration,adam-1000-1,2_1949768369175385347,20.624772563109552,1040.2895348072052
ChlorineConcentration,ssg-1000-10,6_48834260785550611,16.882090818015698,1055.0772240161896
ChlorineConcentration,ssg-1000-10,0_144065711646299510,16.882090818015698,1154.0356984138489
ChlorineConcentration,adam-1000-1,25_873638405919856121,20.624772563109552,1285.5801539421082
ChlorineConcentration,ssg-1000-10,18_1021982315716138572,16.882090818015698,1368.28875041008
ChlorineConcentration,adam-1000-1,1_2282762612472927833,20.624772563109552,1381.9785511493683
ChlorineConcentration,adam-1000-1,23_844610749190755930,20.624772563109552,1382.5845849514008
ChlorineConcentration,adam-1000-1,22_1833464777968309850,20.624772563109552,1382.8736550807953
ChlorineConcentration,adam-1000-1,12_1757176263186699879,20.624772563109552,1396.0351960659027
ChlorineConcentration,ssg-1000-10,12_358593074609116805,16.882090818015698,1424.9790103435516
ChlorineConcentration,ssg-1000-1,8_1773021875010393750,14.758550233256436,1443.2423253059387
ChlorineConcentration,adam-1000-1,26_1692068682147944124,20.624772563109552,1480.708467245102
ChlorineConcentration,ssg-1000-10,20_1098979465741850309,16.882090818015698,1489.3974163532257
ChlorineConcentration,adam-1000-1,9_473051135548970700,20.624772563109552,1496.622474193573
ChlorineConcentration,adam-1000-1,11_1272162992477034286,20.624772563109552,1594.797861814499
ChlorineConcentration,ssg-1000-1,26_938424929563301690,14.758550233256436,1606.7346377372742
ChlorineConcentration,ssg-1000-1,13_1631254144259839807,14.758550233256436,1612.1357681751251
ChlorineConcentration,ssg-1000-1,19_1889047289775642435,14.758550233256436,1616.275806427002
ChlorineConcentration,ssg-1000-10,17_1618605912249718598,16.882090818015698,1618.4509556293488
ChlorineConcentration,adam-1000-1,17_368492527549798218,20.624772563109552,1622.3753011226654
ChlorineConcentration,ssg-1000-10,28_1092609445126330205,16.135776116039654,649.5715203285217
ChlorineConcentration,adam-1000-1,3_1489600212962760544,20.624772563109552,1645.0741415023804
ChlorineConcentration,adam-1000-1,27_48496160960010083,20.624772563109552,1647.1532182693481
ChlorineConcentration,ssg-1000-1,29_1737638491316934500,14.758550233256436,1649.2009208202362
ChlorineConcentration,adam-1000-1,13_2237472079257392999,20.624772563109552,1652.1601476669312
ChlorineConcentration,ssg-1000-1,28_655814707096967016,14.758550233256436,1652.6780486106873
ChlorineConcentration,ssg-1000-10,5_241194369820776297,16.882090818015698,1652.9956517219543
ChlorineConcentration,adam-1000-1,28_1800158921495533417,20.624772563109552,1653.8056271076202
ChlorineConcentration,adam-1000-1,5_9211710011201387,20.624772563109552,1655.3209128379822
ChlorineConcentration,adam-1000-1,15_1617951702831191917,20.624772563109552,1658.1952748298645
ChlorineConcentration,adam-1000-10,0_1947566597140764526,21.814218204881286,652.2279875278473
ChlorineConcentration,ssg-1000-10,1_1574683721254950768,16.882090818015698,1660.7267007827759
ChlorineConcentration,ssg-1000-10,7_62740883853662065,16.882090818015698,1661.2123529911041
ChlorineConcentration,adam-1000-1,21_583356341070714739,20.624772563109552,1663.318650484085
ChlorineConcentration,ssg-1000-1,10_1279223506394797942,14.758550233256436,1667.0203695297241
ChlorineConcentration,adam-1000-1,14_1236953881376577401,20.624772563109552,1669.9417333602905
ChlorineConcentration,adam-1000-1,29_661107756073080699,20.624772563109552,1671.424016237259
ChlorineConcentration,adam-1000-10,1_1308268205554128766,21.814218204881286,661.663058757782
ChlorineConcentration,ssg-1000-1,4_561425482143094656,14.758550233256436,1676.732840538025
ChlorineConcentration,ssg-1000-1,2_1267070604372989825,14.758550233256436,1677.9730503559113
ChlorineConcentration,ssg-1000-10,19_997959086160861059,16.882090818015698,1679.166595697403
ChlorineConcentration,ssg-1000-1,3_153504469214943108,14.758550233256436,1680.5448303222656
ChlorineConcentration,ssg-1000-1,25_372286942177253253,14.758550233256436,1681.566509962082
ChlorineConcentration,ssg-1000-10,16_1061614212339324805,16.882090818015698,1681.381474494934
ChlorineConcentration,ssg-1000-10,10_1276668791127660421,16.882090818015698,1681.9451596736908
ChlorineConcentration,ssg-1000-1,11_1441089759945283464,14.758550233256436,1685.086778640747
ChlorineConcentration,adam-1000-1,10_1558968951314962312,20.624772563109552,1685.010793209076
ChlorineConcentration,adam-1000-10,2_2234105374653142920,21.814218204881286,644.7388520240784
ChlorineConcentration,adam-1000-1,7_1430637802411644810,20.624772563109552,1687.0659618377686
ChlorineConcentration,ssg-1000-1,24_1627548240318420875,14.758550233256436,1688.163805961609
ChlorineConcentration,adam-1000-1,24_939429883191089041,20.624772563109552,1693.6211495399475
ChlorineConcentration,ssg-1000-1,16_1346888001723946897,14.758550233256436,1694.013988494873
ChlorineConcentration,adam-1000-1,16_647776727342110614,20.624772563109552,1698.7632675170898
ChlorineConcentration,ssg-1000-1,17_1147869250270910360,14.758550233256436,1700.9656438827515
ChlorineConcentration,adam-1000-1,18_1573258754185353112,20.624772563109552,1701.0683705806732
ChlorineConcentration,ssg-1000-1,15_1317904875215771545,14.758550233256436,1702.0236296653748
ChlorineConcentration,ssg-1000-1,20_982373508837136283,14.758550233256436,1703.8918106555939
ChlorineConcentration,ssg-1000-10,11_2277610850740983717,16.882090818015698,1713.8011775016785
ChlorineConcentration,ssg-1000-1,6_467531037421721512,14.758550233256436,1716.5062885284424
ChlorineConcentration,ssg-1000-10,3_722272488414631850,16.882090818015698,1718.2395632266998
ChlorineConcentration,adam-1000-1,19_1561756763047188394,20.624772563109552,1718.93044257164
ChlorineConcentration,ssg-1000-10,29_1713831315796514731,16.135776116039654,713.3479681015015
ChlorineConcentration,ssg-1000-10,9_2232181229304534955,16.882090818015698,1719.8332664966583
ChlorineConcentration,ssg-1000-1,0_1066950692024735660,14.758550233256436,1720.9818642139435
ChlorineConcentration,ssg-1000-10,15_1567280159709321138,16.882090818015698,1726.4451596736908
ChlorineConcentration,ssg-1000-1,27_1896294170914314165,14.758550233256436,1730.1108779907227
ChlorineConcentration,ssg-1000-10,24_1917396547830405047,16.882090818015698,1731.5206742286682
ChlorineConcentration,adam-1000-10,3_1963699731255121852,21.814218204881286,681.5627250671387
ChlorineConcentration,adam-1000-1,20_1954168614709745599,20.624772563109552,1739.9675624370575
ChlorineConcentration,ssg-1000-1,1_625806285995890625,14.758550233256436,1741.7560369968414
ChlorineConcentration,ssg-1000-10,2_739103812412626887,16.882090818015698,1747.3802332878113
ChlorineConcentration,adam-1000-1,0_415022210369837000,20.624772563109552,1748.6346740722656
