dataset,optimizer,iteration,variation,runtime
Adiac,adam-1000-1,2_1304606831834338190,0.633249493,625.4933209
Adiac,adam-1000-1,0_635570499007058849,0.622548166,654.8294761
Adiac,adam-1000-1,1_370465051410731942,0.647985779,654.4633012
Adiac,adam-1000-1,3_1464982147617559500,0.612678784,650.3293371
Adiac,adam-1000-1,4_169887742225322971,0.645335151,661.8358006
Adiac,adam-1000-1,5_1145685070423036906,0.635968323,675.7280915
Adiac,adam-1000-1,6_1251661498666226682,0.655394445,683.8802423
Adiac,adam-1000-1,7_768639443514463227,0.634933644,676.222585
Adiac,adam-1000-1,8_1519991264111006796,0.607934957,726.2338214
Adiac,adam-1000-1,10_1887692691450926171,0.63003299,731.3568604
Adiac,adam-1000-1,9_1299867386962809953,0.636186725,738.8354111
Adiac,adam-1000-1,12_1607957142135411844,0.628769591,757.3351502
Adiac,adam-1000-1,13_1191248832278074504,0.608540941,761.2143798
Adiac,adam-1000-1,11_653526073644455051,0.658701419,768.3353844
Adiac,adam-1000-1,20_1345946819771274411,0.62798679,746.5620062
Adiac,adam-1000-1,19_1584032868626633902,0.622192148,755.118593
Adiac,adam-1000-1,18_1877307254370768055,0.63783663,769.7311857
Adiac,adam-1000-1,17_820615007426876618,0.626361395,789.1034627
Adiac,adam-1000-1,16_1364863917327160524,0.623548091,793.4774568
Adiac,adam-1000-1,15_1488566672033354959,0.661792272,800.6558316
Adiac,adam-1000-1,14_2193023222193624271,0.642439065,802.4142029
Adiac,adam-1000-1,21_51009094785995997,0.625896591,795.5724216
Adiac,adam-1000-1,22_1462040954013259002,0.639465615,824.3256853
Adiac,adam-1000-1,23_122184880498447619,0.60005999,797.0614166
Adiac,adam-1000-1,24_1943680373293094168,0.660353228,814.7192554
Adiac,adam-1000-1,25_833848179622974764,0.671697271,808.4561079
Adiac,adam-1000-1,26_1091826043092243836,0.618358121,523.0539141
Adiac,adam-1000-1,27_909866214544151937,0.625962402,527.1435521
Adiac,adam-1000-1,28_1263159641513694637,0.64163301,542.808959
Adiac,adam-1000-1,29_853941754620581362,0.619599202,592.8924396
Adiac,adam-1000-10,0_148508288379033745,0.98468866,585.9651713
Adiac,adam-1000-10,1_2161155526929979582,0.826177936,596.654196
Adiac,adam-1000-10,3_677705433850878158,0.877176472,590.8462627
Adiac,adam-1000-10,2_368635464062114003,0.781128398,597.2137861
Adiac,adam-1000-10,4_450886080645339568,0.792100307,687.9973245
Adiac,adam-1000-10,5_165763474109536693,0.837276825,679.6442268
Adiac,adam-1000-10,6_2032051421352335821,0.841503598,698.3354371
Adiac,adam-1000-10,13_541448455378737652,1.977368577,577.6074855
Adiac,adam-1000-10,7_2176653693079296539,0.829386026,690.1692657
Adiac,adam-1000-10,14_218676921440442910,0.711232133,604.041152
