dataset,optimizer,iteration,variation,runtime
FiftyWords,ssg-1000-1,0_2265492033579162998,210.526323443629,264.96551489830017
FiftyWords,ssg-1000-1,1_1016076838762880639,210.5426919458896,264.45773482322693
FiftyWords,ssg-1000-1,2_729535312471433095,211.63973971660036,263.8753616809845
FiftyWords,ssg-1000-1,3_354463858690531473,216.68341290467683,265.83700823783875
FiftyWords,ssg-1000-1,4_956363461769994650,215.8848677078605,265.2606711387634
FiftyWords,ssg-1000-1,5_2124753445712208546,225.00954549988668,264.50635862350464
FiftyWords,ssg-1000-1,6_1118859735483196331,212.08328579281047,264.5634038448334
FiftyWords,ssg-1000-1,7_1791849912123958453,210.64550507456937,266.2914979457855
FiftyWords,ssg-1000-1,8_1527752716690302398,218.27246351920607,264.88509917259216
FiftyWords,ssg-1000-1,9_436735915750500038,210.75259623284376,263.5264940261841
FiftyWords,ssg-1000-1,10_218439976683481036,218.057064398239,261.9049892425537
FiftyWords,ssg-1000-1,11_1048079224200931622,210.76270698417528,346.3593955039978
FiftyWords,ssg-1000-1,12_947708106236144177,214.00788140620156,266.955849647522
FiftyWords,ssg-1000-1,13_585045740686322491,210.82160025316642,265.8422956466675
FiftyWords,ssg-1000-1,14_1941388991059635268,210.4569243727741,265.58784770965576
FiftyWords,ssg-1000-1,15_2288879745413590352,210.14773595605863,268.1503167152405
FiftyWords,ssg-1000-1,16_837065900400488026,213.15147933040757,265.3699994087219
FiftyWords,ssg-1000-1,17_2547020278968162,212.29195500962078,263.6377761363983
FiftyWords,ssg-1000-1,18_2003591112621994089,211.15707621038254,263.8674986362457
FiftyWords,ssg-1000-1,19_2090347527855845745,212.06141301389096,264.0372838973999
FiftyWords,ssg-1000-1,20_6751002987770489,212.11796139131042,263.0959994792938
FiftyWords,ssg-1000-1,21_172964725514482559,211.0545987424541,262.0717022418976
FiftyWords,ssg-1000-1,22_1317461222273496199,210.12092988855537,264.49595880508423
FiftyWords,ssg-1000-1,23_1880949936392418702,210.87822722439176,263.24405217170715
FiftyWords,ssg-1000-1,24_1662962960092804758,211.08334983093388,263.905127286911
FiftyWords,ssg-1000-1,25_15227138126296990,214.59156731986008,263.2850875854492
FiftyWords,ssg-1000-1,26_2155307774336481444,210.21751613383293,262.9277651309967
FiftyWords,ssg-1000-1,27_667719119490431406,214.31549728336566,265.35451912879944
FiftyWords,ssg-1000-1,28_1407610180634852022,215.31661402177795,264.3204708099365
FiftyWords,ssg-1000-1,29_1905928091796421566,210.6253229588619,264.21575593948364
FiftyWords,adam-1000-1,0_667950566688079046,238.42432884848117,263.46235489845276
FiftyWords,adam-1000-1,1_1900100130413395406,336.58199944767244,264.5339448451996
FiftyWords,adam-1000-1,2_1591116472287411927,326.6585966459535,264.86564445495605
FiftyWords,adam-1000-1,3_620585804786745313,319.3935210803244,265.57872438430786
FiftyWords,adam-1000-1,4_1763359366825033963,332.0784517284906,266.49530005455017
FiftyWords,adam-1000-1,5_917034480600269302,257.0070905774307,266.6326560974121
FiftyWords,adam-1000-1,6_609154732148572928,273.4489890640347,265.8660674095154
FiftyWords,adam-1000-1,7_1798861497774294027,238.56499702435082,267.51558899879456
FiftyWords,adam-1000-1,8_1530293688062100759,291.99274139592774,267.88318252563477
FiftyWords,adam-1000-1,9_1619633405865412130,349.00294614747077,267.0384159088135
FiftyWords,adam-1000-1,10_519323532647647023,234.129295822531,268.5224802494049
FiftyWords,adam-1000-1,11_1824268462713129017,237.05306356994657,266.56562638282776
FiftyWords,adam-1000-1,12_1932018952967735620,291.1935800259114,267.0464017391205
FiftyWords,adam-1000-1,13_1900329378587789902,325.80474419761003,265.98591470718384
FiftyWords,adam-1000-1,14_935268231679495001,334.082989672243,266.58112931251526
FiftyWords,adam-1000-1,15_1988127581088959586,327.1485763945882,265.4562714099884
FiftyWords,adam-1000-1,16_767941803385474413,217.9973391080195,266.4704248905182
FiftyWords,adam-1000-1,17_1025913619540790903,365.07298654950887,266.11154866218567
FiftyWords,adam-1000-1,18_2058402317022449535,342.02577885685395,264.44742131233215
FiftyWords,adam-1000-1,19_149324675761492105,304.9806851653853,265.1716938018799
FiftyWords,adam-1000-1,20_1775611774649160082,366.0485122421577,265.7049376964569
FiftyWords,adam-1000-1,21_2148569417325662876,376.29952367316685,266.1614451408386
